City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Eyl,SO,2021-04-24 17:10:21,7.9803,49.8164,83.5,72,20,8.86
68,Bredasdorp,ZA,2021-04-24 17:10:22,-34.5322,20.0403,60.8,77,95,3.44
69,Guerrero Negro,MX,2021-04-24 17:06:49,27.9769,-114.0611,64.8,62,30,13.94
70,Solnechnyy,RU,2021-04-24 17:10:22,50.7214,136.6319,30.09,73,98,9.4
71,Viedma,AR,2021-04-24 17:10:22,-40.8135,-62.9967,62.73,54,88,18.68
72,Onega,RU,2021-04-24 17:10:23,63.9061,38.1404,44.73,87,100,1.25
73,Mafeteng,LS,2021-04-24 17:10:23,-29.823,27.2374,53.47,17,0,4.83
74,Hay River,CA,2021-04-24 17:09:17,60.8156,-115.7999,19.4,68,99,8.05
75,Victor Harbor,AU,2021-04-24 17:10:23,-35.5667,138.6167,59.0,84,21,4.32
76,Port Elizabeth,ZA,2021-04-24 17:10:24,-33.918,25.5701,59.0,94,0,8.05
77,Rawson,AR,2021-04-24 17:10:24,-43.3002,-65.1023,58.87,50,5,0.83
78,Opuwo,NA,2021-04-24 17:10:24,-18.0607,13.84,73.81,30,60,6.4
79,Xingyi,CN,2021-04-24 17:10:25,24.1877,102.817,65.44,29,15,2.42
80,Tuktoyaktuk,CA,2021-04-24 17:10:25,69.4541,-133.0374,17.6,79,75,4.61
81,Cherskiy,RU,2021-04-24 17:10:25,68.75,161.3,19.18,96,100,4.09
82,Mattru,SL,2021-04-24 17:10:26,7.6244,-11.8332,89.31,55,63,7.94
83,Caconda,AO,2021-04-24 17:10:26,-13.7333,15.0667,64.8,63,84,4.61
84,Norman Wells,CA,2021-04-24 17:10:26,65.282,-126.8329,28.4,54,75,3.44
85,Ponta Do Sol,PT,2021-04-24 17:10:27,32.6667,-17.1,66.2,63,40,5.75
86,Khatanga,RU,2021-04-24 17:10:27,71.9667,102.5,32.34,97,100,16.42
87,Humboldt,US,2021-04-24 17:10:27,40.6665,-123.9178,52.0,93,75,9.22
88,Manakara,MG,2021-04-24 17:10:28,-22.1333,48.0167,71.62,89,7,1.74
89,Hobart,AU,2021-04-24 17:10:28,-42.8794,147.3294,48.99,81,96,6.91
90,Iguatu,BR,2021-04-24 17:10:28,-6.3594,-39.2986,86.07,57,99,4.23
91,Castro,BR,2021-04-24 17:10:29,-24.7911,-50.0119,74.52,48,18,5.19
92,Butler,US,2021-04-24 17:09:13,39.4501,-84.5666,54.0,71,90,5.75
93,Alice Springs,AU,2021-04-24 17:10:29,-23.7,133.8833,50.0,66,1,8.08
94,Iqaluit,CA,2021-04-24 17:10:30,63.7506,-68.5145,35.6,75,75,9.22
95,Lompoc,US,2021-04-24 17:10:30,34.6391,-120.4579,53.6,71,11,8.05
96,Esperance,AU,2021-04-24 17:10:30,-33.8667,121.9,59.0,77,98,11.5
97,Ballina,AU,2021-04-24 17:10:30,-28.8667,153.5667,55.0,94,90,5.82
98,Hermanus,ZA,2021-04-24 17:10:31,-34.4187,19.2345,64.0,78,97,1.99
99,Chanika,TZ,2021-04-24 17:09:15,-5.4167,38.0167,69.33,97,24,2.66
100,Shubarshi,KZ,2021-04-24 17:10:31,48.5872,57.1869,47.66,73,73,6.29
101,Haines Junction,CA,2021-04-24 17:06:43,60.7522,-137.5108,32.0,64,13,2.66
102,Kapaa,US,2021-04-24 17:10:32,22.0752,-159.319,73.99,73,75,17.27
103,Komsomolskiy,UZ,2021-04-24 17:10:32,40.4272,71.7189,66.2,32,100,4.61
104,Butaritari,KI,2021-04-24 17:10:32,3.0707,172.7902,82.15,73,99,9.26
105,Teya,RU,2021-04-24 17:10:33,60.3778,92.6267,33.08,98,100,0.72
106,San Francisco,US,2021-04-24 17:08:40,37.7749,-122.4194,55.99,67,75,3.44
107,Yulara,AU,2021-04-24 17:10:33,-25.2406,130.9889,55.4,54,49,5.75
108,Suwannaphum,TH,2021-04-24 17:10:34,15.6035,103.8021,89.01,63,91,12.3
109,Clyde River,CA,2021-04-24 17:10:34,70.4692,-68.5914,15.8,92,75,5.75
110,Lavrentiya,RU,2021-04-24 17:10:34,65.5833,-171.0,23.0,95,91,2.57
111,Ejea De Los Caballeros,ES,2021-04-24 17:09:23,42.1263,-1.1372,68.0,34,100,17.27
112,Cape Town,ZA,2021-04-24 17:06:03,-33.9258,18.4232,64.0,72,0,13.8
